年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,クレイジーダイヤモンド,林保徳,54.2,1着,第一試合,34200,P0320
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,TEAMS Rabbit_yohan,うわぁーん！,6.2,2着,,26200,P0073
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,さわやかMJ野郎の会,黙示録@SMY会,-18.6,3着,,21400,P0316
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,TEAM AJITO,あばだんご,-41.8,4着,,18200,P0069
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,レッドリボン軍,小倉唯,62.6,1着,第一試合,42600,P0273
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,TEAM THE ChampLoo,ぼうや,19.3,2着,,39300,P0177
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,武装,年賀状,-30.1,3着,,9900,P0307
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,Team MJ lovers,ゆっしー@,-51.8,4着,,8200,P0207
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,たちこまーず,坊や哲,62.2,1着,第一試合,42200,P0310
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,他力本願寺,とり,10.2,2着,,30200,P0148
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,電光石火,魔王,-21.6,3着,,18400,P0312
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,おたまーず,二階堂ゴリエ,-50.8,4着,,9200,P0306
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,HIVE,最後のZ戦士達,58.3,1着,第一試合,38300,P0261
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,enjoyすればイイ雀！,七対子大好き,4.0,2着,,24000,P0267
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,チームミラデミア,鞘,-21.0,3着,,19000,P0278
